DATE,LMUNRLTTGBM647S
1960-01-01,401600.0
1960-02-01,391600.0
1960-03-01,387300.0
1960-04-01,383300.0
1960-05-01,369100.0
1960-06-01,368500.0
1960-07-01,362700.0
1960-08-01,357300.0
1960-09-01,349100.0
1960-10-01,346400.0
1960-11-01,346700.0
1960-12-01,339900.0
1961-01-01,329700.0
1961-02-01,317600.0
1961-03-01,317500.0
1961-04-01,330000
1961-05-01,321900.0
1961-06-01,325500.0
1961-07-01,330500.0
1961-08-01,344600.0
1961-09-01,345600.0
1961-10-01,363400.0
1961-11-01,370200.0
1961-12-01,374800.0
1962-01-01,383400.0
1962-02-01,379400.0
1962-03-01,400200.0
1962-04-01,422000
1962-05-01,434000
1962-06-01,454000
1962-07-01,474300.0
1962-08-01,483800.0
1962-09-01,490300.0
1962-10-01,505300.0
1962-11-01,520200.00000000006
1962-12-01,537100.0
1963-01-01,566700.0
1963-02-01,589300.0
1963-03-01,600200.0
1963-04-01,566700.0
1963-05-01,555200.0
1963-06-01,550600.0
1963-07-01,535100.0
1963-08-01,526800.0
1963-09-01,517299.99999999994
1963-10-01,498100.0
1963-11-01,478400.0
1963-12-01,465000
1964-01-01,439600.0
1964-02-01,415000
1964-03-01,401700.0
1964-04-01,408100.0
1964-05-01,406300.0
1964-06-01,397500.0
1964-07-01,395200.0
1964-08-01,391100.0
1964-09-01,383400.0
1964-10-01,369800.0
1964-11-01,351900.0
1964-12-01,339600.0
1965-01-01,329400.0
1965-02-01,328400.0
1965-03-01,338400.0
1965-04-01,324600.0
1965-05-01,342900.0
1965-06-01,346800.0
1965-07-01,352100.0
1965-08-01,353200.0
1965-09-01,353200.0
1965-10-01,338100.0
1965-11-01,325200.0
1965-12-01,320700.0
1966-01-01,304600.0
1966-02-01,299300.0
1966-03-01,302100.0
1966-04-01,302800.0
1966-05-01,312600.0
1966-06-01,328200.0
1966-07-01,337800.0
1966-08-01,344900.0
1966-09-01,373800.0
1966-10-01,404300.0
1966-11-01,453700.0
1966-12-01,474200.0
1967-01-01,499300.0
1967-02-01,518500.0
1967-03-01,529200.0
1967-04-01,539900.0
1967-05-01,547200.0
1967-06-01,546900.0
1967-07-01,553900.0
1967-08-01,560600.0
1967-09-01,565000
1967-10-01,565200.0
1967-11-01,571900.0
1967-12-01,570700.0
1968-01-01,572900.0
1968-02-01,576900.0
